"Title","Gross Value Added (Average) at basic prices: CP SA £m"
"CDID","ABML"
"Source dataset ID","BB"
"PreUnit","£"
"Unit","m"
"Release date","31-10-2019"
"Next release","To be announced"
"Important notes",
"1948","10376"
"1949","11124"
"1950","11580"
"1951","12958"
"1952","14150"
"1953","15209"
"1954","16108"
"1955","17476"
"1956","19038"
"1957","20291"
"1958","21352"
"1959","22384"
"1960","24202"
"1961","25847"
"1962","27003"
"1963","28822"
"1964","31374"
"1965","33817"
"1966","36085"
"1967","38485"
"1968","42126"
"1969","45505"
"1970","51419"
"1971","58013"
"1972","65477"
"1973","76367"
"1974","87292"
"1975","108516"
"1976","128147"
"1977","148865"
"1978","174088"
"1979","205235"
"1980","239648"
"1981","268096"
"1982","292963"
"1983","322808"
"1984","346212"
"1985","379925"
"1986","407215"
"1987","452207"
"1988","506392"
"1989","561862"
"1990","613053"
"1991","643176"
"1992","666082"
"1993","702221"
"1994","736824"
"1995","770831"
"1996","823929"
"1997","860777"
"1998","897666"
"1999","932831"
"2000","982416"
"2001","1024463"
"2002","1071319"
"2003","1132034"
"2004","1186905"
"2005","1257431"
"2006","1328812"
"2007","1395341"
"2008","1438354"
"2009","1408937"
"2010","1442376"
"2011","1481519"
"2012","1530213"
"2013","1590569"
"2014","1660189"
"2015","1709325"
"2016","1778134"
"2017","1846903"
"2018","1908608"
